Query	Match	HMDB	PubChem	ChEBI	KEGG	METLIN	SMILES	Comment
(2)-Methylglutaric acid	NA	HMDB00422	12046	68567	C00174	NA	CC(CCC(O)=O)C(O)=O	0
(4-hydroxyphenyl)pyruvic acid	4-Hydroxyphenylpyruvic acid	HMDB0000707	979	15999	C01179	5675	OC(=O)C(=O)CC1=CC=C(O)C=C1	1
(R)-Mevalonic acid	Mevalonic acid	HMDB0000227	439230	17710	C00418	127	C[C@@](O)(CCO)CC(O)=O	1
(R)-Pantothenic acid	Pantothenic acid	HMDB0000210	6613	46905	C00864	NA	CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O	1
2'-Deoxyadenosine	Deoxyadenosine	HMDB0000101	13730	17256	C00559	3382	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	1
2'-Deoxycytidine	Deoxycytidine	HMDB0000014	13711	15698	C00881	3367	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	1
2'-Deoxyguanosine	Deoxyguanosine	HMDB0000085	187790	17172	C00330	3395	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	1
2-Aminobenzoic acid	2-Aminobenzoic acid	HMDB0001123	227	30754	C00108	6018	NC1=CC=CC=C1C(O)=O	1
2-Dehydro-D-gluconate	2-Keto-L-gluconate	HMDB0011732	50	88378	C03342	NA	OCC(O)C(O)C(O)C(=O)C(O)=O	1
2-Hydroxy-2-methylbutanedioic acid	Citramalic acid	HMDB0000426	1081	15584	C00815	5415	CC(O)(CC(O)=O)C(O)=O	1
2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine	NA	NA	NA	NA	NA	NA	NA	0
2-hydroxybutyric acid	2-Hydroxybutyric acid	HMDB0000008	440864	50613	C05984	3783	CC[C@H](O)C(O)=O	1
