"Feature_ID"	"Alignment_ID"	"Molecule_names"	"KEGG"	"l2fc"	"p"	"FDR"
"IM_NEG_103_040068a7_29394602479942"	185	"3-Hydroxybutyric acid"	"C01089"	NA	NA	NA
"IM_NEG_103_040068a8_29875518672199"	178	"2-hydroxybutyric acid"	"C05984"	NA	NA	NA
"IM_NEG_104_035317a7_34214390602056"	278	"L-Serine"	"C00065"	NA	NA	NA
"IM_NEG_105_019333a8_86524822695035"	242	"Glyceric acid"	"C00258"	NA	NA	NA
"IM_NEG_108_012473a7_52445447705041"	249	"Hypotaurine"	"C00519"	NA	NA	NA
"IM_NEG_111_020001a8_81057268722467"	335	"Uracil"	"C00106"	-0.319211293696522	-25.6239383719947	0.08979972683403
"IM_NEG_114_056053a7_99360511590728"	277	"L-Proline"	"C00148"	NA	NA	NA
"IM_NEG_116_071703a8_00640512409928"	282	"L-Valine"	"C00183"	NA	NA	NA
"IM_NEG_117_019333a8_39630562552477"	326	"Succinic acid"	"C00042"	NA	NA	NA
"IM_NEG_118_050967a7_73993808049536"	279	"L-Threonine"	"C00188"	NA	NA	NA
"IM_NEG_118_050967a8_27814569536424"	271	"L-Homoserine"	"C00263"	NA	NA	NA
"IM_NEG_118_050967a8_35421888053467"	260	"L-Allothreonine"	"C05519"	NA	NA	NA
"IM_NEG_119_03632a8_7260034904014"	313	"Purine"	"C15587"	NA	NA	NA
"IM_NEG_120_012473a6_94444444444444"	265	"L-Cysteine"	"C00097"	NA	NA	NA
"IM_NEG_121_029503a8_47457627118644"	322	"Salicylaldehyde"	"C06202"	NA	NA	NA
"IM_NEG_122_024752a8_24402308326463"	294	"Nicotinic acid"	"C00253"	NA	NA	NA
"IM_NEG_124_007388a8_43881856540084"	328	"Taurine"	"C00245"	NA	NA	NA
"IM_NEG_125_035651a8_36820083682008"	331	"Thymine"	"C00178"	NA	NA	NA
"IM_NEG_128_035317a8_02568218298556"	318	"Pyroglutamic acid"	"C01879"	-1.29859594404768	-30.1057915645982	4.00153646813527
"IM_NEG_128_071703a7_73395204949729"	227	"DL-Pipecolic acid"	"C00408"	NA	NA	NA
"IM_NEG_129_019333a8_39630562552477"	354	"itaconic acid"	"C00490"	NA	NA	NA
"IM_NEG_130_050967a7_89265982636149"	363	"trans-4-hydroxy-L-proline"	"C01157"	NA	NA	NA
"IM_NEG_130_087353a7_49625187406297"	221	"D-Leucine"	"C01570"	0.0183539796868411	0.536496157856161	0.0321494426871966
"IM_NEG_130_087353a7_5642965204236"	295	"Norleucine"	"C01933"	0.0190858551490193	0.630132216187823	0.0322572118464678
"IM_NEG_130_087353a7_57575757575758"	220	"D-Isoleucine"	NA	0.0170447061522604	0.362768623188723	0.0320608674693621
"IM_NEG_130_087353a7_58725341426404"	273	"L-Leucine"	"C00123"	0.0199882536119841	0.753775684967959	0.0320931347653024
"IM_NEG_130_087353a7_65696784073507"	272	"L-Isoleucine"	"C00407"	0.0186792034575282	0.580255202355158	0.0321332836975196
"IM_NEG_131_046216a8_05152979066022"	262	"L-Asparagine"	"C00152"	NA	NA	NA
"IM_NEG_132_030232a8_34724540901503"	263	"L-Aspartic acid"	"C00049"	NA	NA	NA
"IM_NEG_134_028123a6_95410292072323"	247	"Homocysteine"	"C00155"	NA	NA	NA
"IM_NEG_134_047219a8_29187396351576"	197	"Adenine"	"C00147"	-0.380200171766054	-27.4395809681438	0.131160409344517
"IM_NEG_135_031235a8_26446280991736"	250	"Hypoxanthine"	"C00262"	NA	NA	NA
"IM_NEG_136_040403a7_93021411578112"	174	"2-Aminobenzoic acid"	"C00108"	NA	NA	NA
"IM_NEG_137_024418a8_22368421052632"	187	"4-Hydroxybenzoic acid"	"C00156"	NA	NA	NA
"IM_NEG_137_024418a8_34724540901503"	323	"Salicylic acid"	"C00805"	NA	NA	NA
"IM_NEG_137_060804a7_23589001447178"	334	"Tyrosol"	"C06044"	NA	NA	NA
"IM_NEG_138_019667a8_34724540901503"	189	"4-Nitrophenol"	"C00870"	NA	NA	NA
"IM_NEG_140_011819a8_10372771474878"	297	"O-Phosphoethanolamine"	"C00346"	NA	NA	NA
"IM_NEG_144_066617a7_6219512195122"	186	"4-Acetamidobutanoic acid"	"C02946"	NA	NA	NA
"IM_NEG_145_014247a7_98722044728434"	301	"Oxoglutaric acid"	"C00026"	NA	NA	NA
"IM_NEG_145_050633a7_91765637371338"	167	"(2)-Methylglutaric acid"	"C00174"	NA	NA	NA
"IM_NEG_145_061866a7_83085356303837"	269	"L-Glutamine"	"C00064"	NA	NA	NA
"IM_NEG_145_098252a7_35835172921266"	274	"L-Lysine"	"C00047"	NA	NA	NA
"IM_NEG_146_045882a7_84313725490196"	288	"N-Acetyl-DL-serine"	NA	0.0571298415219103	0.240900266882739	0.117498392810871
"IM_NEG_146_045882a7_99360511590728"	268	"L-Glutamic acid"	"C00025"	0.0571298415219103	0.240900266882739	0.117498392810871
"IM_NEG_147_029897a8_12347684809098"	176	"2-Hydroxy-2-methylbutanedioic acid"	"C00815"	0.0837154623702024	-0.664775769598859	0.269246944676876
"IM_NEG_147_066283a7_75193798449612"	169	"(R)-Mevalonic acid"	"C00418"	NA	NA	NA
"IM_NEG_148_043773a7_11743772241993"	275	"L-Methionine"	"C00073"	NA	NA	NA
"IM_NEG_151_026149a8_18330605564648"	342	"Xanthine"	"C00385"	NA	NA	NA
"IM_NEG_151_040068a7_75795190069822"	188	"4-Hydroxyphenylacetic acid"	"C00642"	NA	NA	NA
"IM_NEG_151_061198a7_93021411578112"	345	"Xylitol"	"C00379"	NA	NA	NA
"IM_NEG_151_061198a7_98722044728434"	283	"L-arabinitol"	"C00532"	NA	NA	NA
"IM_NEG_152_035317a7_78816199376947"	184	"3-Hydroxyanthranilic acid"	"C00632"	NA	NA	NA
"IM_NEG_153_019333a8_13669650122051"	312	"Protocatechuic acid"	"C00230"	NA	NA	NA
"IM_NEG_154_062201a7_72797527047913"	270	"L-Histidine"	"C00135"	-2.9901639033977	25.2317468262332	1.0901994071563
"IM_NEG_155_009831a8_21692686935086"	299	"Orotic acid"	"C00295"	NA	NA	NA
"IM_NEG_157_025481a7_96812749003984"	267	"L-Dihydroorotic acid"	"C00337"	NA	NA	NA
"IM_NEG_157_036714a7_89265982636149"	203	"Allantoin"	"C02350"	NA	NA	NA
"IM_NEG_158_061138a7_63358778625954"	251	"Indoleacetaldehyde"	"C00637"	NA	NA	NA
"IM_NEG_159_029897a7_88643533123028"	300	"Oxoadipic acid"	"C00322"	NA	NA	NA
"IM_NEG_160_061532a7_64525993883792"	259	"L-2-aminoadipate"	"C00956"	NA	NA	NA
"IM_NEG_160_076788a7_5187969924812"	365	"tryptophol"	"C00955"	NA	NA	NA
"IM_NEG_163_040068a7_61614623000762"	362	"trans-4-Coumaric acid"	"C00811"	NA	NA	NA
"IM_NEG_164_057784a7_34753857457752"	195	"7-Methylguanine"	"C02242"	NA	NA	NA
"IM_NEG_164_071703a7_11237553342816"	276	"L-Phenylalanine"	"C00079"	NA	NA	NA
"IM_NEG_166_014582a7_8125"	319	"Quinolinic acid"	"C03722"	NA	NA	NA
"IM_NEG_166_050967a7_73993808049536"	314	"Pyridoxal"	"C00250"	NA	NA	NA
"IM_NEG_167_021064a7_92393026941363"	336	"Uric acid"	"C00366"	NA	NA	NA
"IM_NEG_167_082602a7_33137829912023"	316	"Pyridoxamine"	"C00534"	NA	NA	NA
"IM_NEG_168_066617a7_42390497401633"	317	"Pyridoxine"	"C00314"	NA	NA	NA
"IM_NEG_168_077851a7_0871722182849"	287	"N(pros)-methyl-L-histidine"	"C01152"	NA	NA	NA
"IM_NEG_171_006399a7_90513833992095"	353	"glycerol 2-phosphate"	"C02979"	NA	NA	NA
"IM_NEG_171_029897a7_5642965204236"	183	"3-Dehydroshikimic acid"	"C02637"	NA	NA	NA
